time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat_i,quat_j,quat_k,quat_real
13369639,0.234375,-0.23828125,9.90234375,0.005859375,0.015625,0.0,-3.9375,-26.375,-37.0,0.0,0.0,0.0,0.0
17404831,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.9375,-26.375,-37.0,0.0,0.0,0.0,0.0
22437072,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.9375,-26.375,-37.0,0.0,0.0,0.0,0.0
25903237,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.9375,-26.375,-37.0,0.0,0.0,0.0,0.0
34123630,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.6875,-25.875,-38.0625,0.0,0.0,0.0,0.0
45786187,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
50913432,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
55111632,0.234375,-0.23828125,9.86328125,0.005859375,0.015625,0.0,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
64030058,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
72386457,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
76030631,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.6875,-25.875,-38.0625,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
84561039,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.4375,-25.5,-37.75,-0.01190185546875,0.01129150390625,-0.97552490234375,0.21929931640625
93560469,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
97167641,0.234375,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
109460228,0.19921875,-0.23828125,9.86328125,-0.009765625,-0.0078125,-0.001953125,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
114163453,0.19921875,-0.23828125,9.86328125,0.0,0.0,0.0,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
118600665,0.19921875,-0.23828125,9.86328125,0.0,0.0,0.0,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
123566902,0.19921875,-0.23828125,9.86328125,0.0,0.0,0.0,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
127117071,0.19921875,-0.23828125,9.86328125,0.0,0.0,0.0,-3.4375,-25.5,-37.75,-0.01220703125,0.011474609375,-0.99896240234375,0.04229736328125
143581858,0.234375,-0.23828125,9.86328125,0.0,0.0,0.0,-3.0,-26.0625,-38.0625,-0.01226806640625,0.011474609375,-0.99920654296875,0.03558349609375
147595049,0.234375,-0.23828125,9.86328125,0.0,0.0,0.0,-3.0,-26.0625,-38.0625,-0.01226806640625,0.011474609375,-0.99920654296875,0.03558349609375
152631290,0.234375,-0.23828125,9.86328125,0.0,0.0,0.0,-3.0,-26.0625,-38.0625,-0.01226806640625,0.011474609375,-0.99920654296875,0.03558349609375
163627815,0.234375,-0.23828125,9.86328125,0.0,0.0,0.0,-3.0,-26.0625,-38.0625,-0.01226806640625,0.011474609375,-0.99920654296875,0.03558349609375
167649007,0.2734375,0.03125,9.86328125,0.001953125,0.0,0.017578125,-3.0,-26.0625,-38.0625,-0.01226806640625,0.011474609375,-0.99920654296875,0.03558349609375
